vs_link,vs_name,vs_id,ftm_name,ftm_id
CA;https://justfacts.votesmart.org/interest-group/127/california-faculty-association,california faculty association,127,California Faculty Association,3288
CA;https://justfacts.votesmart.org/interest-group/881/jericho,jericho,881,Jericho,32273155
CA;https://justfacts.votesmart.org/interest-group/2638/national-association-of-social-workers-california,national association of social workers california,2638,California Chapter National Association Of Social Workers,18945
CA;https://justfacts.votesmart.org/interest-group/2638/national-association-of-social-workers-california,national association of social workers california,2638,National Association Of Social Workers California Political Action For Candidate Election Calpace,46525556
CA;https://justfacts.votesmart.org/interest-group/2638/national-association-of-social-workers-california,national association of social workers california,2638,National Association Of Social Workers Calpace California Political Action For Candidate Election,52374366
CA;https://justfacts.votesmart.org/interest-group/589/california-communities-united-institute,california communities united institute,589,TimeoutException,TimeoutException
CA;https://justfacts.votesmart.org/interest-group/792/howard-jarvis-taxpayers-association,howard jarvis taxpayers association,792,Howard Jarvis Taxpayers Association,12970
CA;https://justfacts.votesmart.org/interest-group/124/gun-owners-of-california,gun owners of california,124,Gun Owners Of California,375639
CA;https://justfacts.votesmart.org/interest-group/2437/spirit-of-democracy,spirit of democracy,2437,Spirit Of Democracy America,18929155
CA;https://justfacts.votesmart.org/interest-group/2437/spirit-of-democracy,spirit of democracy,2437,Spirit Of Democracy California,16741307
CA;https://justfacts.votesmart.org/interest-group/3256/association-for-los-angeles-deputy-sheriffs-alads,association for los angeles deputy sheriffs alads,3256,TimeoutException,TimeoutException
CA;https://justfacts.votesmart.org/interest-group/2083/republican-liberty-caucus-of-california,republican liberty caucus of california,2083,TimeoutException,TimeoutException
CA;https://justfacts.votesmart.org/interest-group/2262/california-professional-firefighters,california professional firefighters,2262,California Professional Firefighters Cpf,49313499
CA;https://justfacts.votesmart.org/interest-group/2262/california-professional-firefighters,california professional firefighters,2262,California Professional Firefighters Pac Small Contributor Commitee,54264837
CA;https://justfacts.votesmart.org/interest-group/2262/california-professional-firefighters,california professional firefighters,2262,California Professional Firefightersac,49305404
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,"Association Of Environmental & Engineering Geologists, Southern California Section",28755822
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Association Of Environmental Health Administrators,24574752
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Conference Directors Environmental Health,32210240
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Conference Of Directors Of Environmental Health (Ccdeh),36596067
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Council For Environmental & Economic,47921531
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Council For Environmental & Economic Balance,24357345
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Council For Environmental Balance Cceeb,43617858
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Environmental,1334630
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Environmental & Resource Associates,38188511
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Environmental Compa,49312365
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Environmental Controls Inc,1999178
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Environmental Health Initiative,48841057
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Environmental Health Initiative,50170458
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Environmental Justice Alliance,24577229
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Environmental Justice Alliance Action,45361319
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Environmental Protection Agency,36596350
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Environmental Quality Act Ceqa,43617859
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Environmental Systems Inc,43686483
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Environmental Voters,55356951
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Environmental Voters Small Contributor Committee,55693124
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Foundation For The Environment & Economy,44821986
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Foundation Of The Environment & Economy,2540699
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Foundation Of The Environment & The Economy,47785247
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Foundation On Environment & The Economy,48552242
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Foundation On The Environment,44826383
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Foundation On The Environment & Economy,48496103
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Foundation On The Environment & Economy Cfee,43618926
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Foundation On The Environment & Economy Inc,47785409
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Foundation On The Environment & The Economy,44823890
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Foundation On The Environment & The Economy 501C3,44825513
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California House: Environmental Safety And Toxic Materials Cmte,28300564
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Senate: Council Of State Government West Energy And Environment Cmte,54293656
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Senate: Environmental Quality Cmte,28303918
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,"California Senate: Subcommittee 2 On Resources, Environmental Protection & Energy",28304730
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,California Water Environment Association,39704941
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,Californians For Clean Energy & Jobs Sponsored By Environmental Organizations & Business,13807538
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,Californians For Clean Energy & Jobs Sponsored By Environmental Organizations & Business For Clean Energy & Jobs,16046004
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,Californians For Recycling & The Environment,48840970
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,"Californians To Control, Regulate & Tax Adult Use Of Marijuana While Protecting Children, Sponsored By Business, Physicians, Environmental & Social-Justice Advocate Organizations",41680354
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,"Clean Air California, A Coalition Of Rideshare Companies, Labor, & Environmental Groups",55785692
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,Elect Climate Champions Fund Sponsored By California Environmental Voters,55695784
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,Environment California 1107 9Th Street,431404
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,Environment California Inc,431386
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,Environment California Nonprofit 501(C)(4) For Prop 68,44486812
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,Environment California Nonprofit 501C4 For Prop 68,45166176
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,Environment California Research & Policy Center,45182249
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,"Low & Asm, Kevin Mullin: Yes On 18 - Vote For Our Future, A Ballot Measure Committee, Sponsored By The California League Of Conservation Voters, A Coalition Of Youth Advocates, Environmentalists, Tea",50871678
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,No On 23 - Californians To Stop The Dirty Energy Proposition Sponsored By Environmental Organizations & Business For Clean,431667
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,No On 23 Californians To Stop The Dirty Energy Proposition Sponsored By Business & Environmental Organizations For Clean Energy,431571
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,Rural County Representative Of California & Affiliated Entities Golden State Finance Authority & Rural Counties Environmental Services Joint Powers Authority,53924732
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,Rural County Representatives Of California & Affiliated Entities Golden State Finance Authority & Rural Counties Environmental Services Joint Powers Authority,53924122
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,University Of California Irvine - Civil & Environmental Engineering Affiliates,32213589
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,University Of California Irvine - Civil & Environmental Engineering Affilliates,32213571
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,Water / Environment Projects California-3,47190356
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,Yes On 64 Californians To Control Regulate & Tax Adult Use Of Marijuana While Protecting Children Sponsored By Business Physicians Environmental & Social-Justice Advocate Organizations,48553157
CA;https://justfacts.votesmart.org/interest-group/1698/environment-california,environment california,1698,Yes On 64 Californians To Control Regulate Tax Adult Use Of Marijuana While Protecting Children Sponsored By Business Physicians Environmental & Social Justice Org,42122895
CA;https://justfacts.votesmart.org/interest-group/1537/california-school-employees-association,california school employees association,1537,California School Employees Association (Formerly Nat Assoc Classified Sch Emp),39503664
CA;https://justfacts.votesmart.org/interest-group/1537/california-school-employees-association,california school employees association,1537,California School Employees Association / Csea,3298
CA;https://justfacts.votesmart.org/interest-group/1537/california-school-employees-association,california school employees association,1537,California School Employees Association Santa Monica College Chapter 36,1158629
CA;https://justfacts.votesmart.org/interest-group/1537/california-school-employees-association,california school employees association,1537,Pace Of California School Employees Association Pac Small Contributor Committee,54263895
CA;https://justfacts.votesmart.org/interest-group/1537/california-school-employees-association,california school employees association,1537,Pace Of California School Employees Associations,55377693
CA;https://justfacts.votesmart.org/interest-group/1537/california-school-employees-association,california school employees association,1537,Pace-Political Action For Classified Employees Of California School Employees Association Small Contributor Committee,54264820
CA;https://justfacts.votesmart.org/interest-group/1326/congress-of-california-seniors,congress of california seniors,1326,Congress Of California Seniors - Region 3,24787179
